ID,Major,Score1,Score2,Score3,Score4,Score5,Grade,Semester
56597,0,85.3,91.5,85.9,94.2,85.5,16,0
51030,0,87.4,86.7,91.0,85.2,88.7,16,0
50816,0,86.8,83.6,92.5,83.8,82.2,16,0
55548,0,81.7,92.2,90.7,83.2,76.4,16,0
58214,0,76.8,89.5,85.3,73.6,81.1,16,0
59827,0,83.2,89.4,76.3,81.2,71.0,16,0
53205,0,80.2,82.4,90.4,74.6,74.7,16,0
58592,0,80.8,91.5,73.5,77.2,76.6,16,0
52394,0,67.4,87.9,78.4,81.4,81.0,16,0
51918,0,83.2,85.0,83.2,67.6,75.3,16,0
59619,0,76.6,78.6,91.6,66.8,79.0,16,0
52495,0,80.8,80.8,87.4,75.6,74.9,16,0
53565,0,76.9,76.9,76.0,73.2,79.5,16,0
57518,0,66.7,79.2,81.4,72.6,79.9,16,0
54355,0,82.9,78.7,79.6,70.0,63.8,16,0
55719,0,70.6,71.6,72.9,71.4,70.8,16,0
58810,0,73.3,78.5,76.9,65.0,70.0,16,0
53266,0,73.6,68.1,77.9,69.0,71.6,16,0
55167,0,73.6,66.0,79.6,67.6,69.6,16,0
51596,0,70.1,64.6,84.4,69.0,61.8,16,0
52144,0,66.1,75.1,73.3,62.8,67.0,16,0
53162,0,71.8,74.0,70.0,62.0,72.0,16,0
55067,0,67.5,63.2,72.6,60.0,69.6,16,0
50020,0,65.4,62.5,66.0,60.6,75.3,16,0
54067,0,60.0,87.1,63.0,65.4,67.0,16,0
56963,0,60.4,60.4,66.2,72.0,74.2,16,0
54844,0,66.1,78.0,61.9,63.0,61.4,16,0
51558,0,70.8,73.7,64.6,65.8,63.0,16,0
51113,0,60.4,66.8,64.0,69.0,60.9,16,0
50324,0,60.0,61.8,68.0,80.0,60.2,16,0
57978,0,60.5,61.8,64.3,61.4,64.2,16,0
54648,0,66.1,66.1,42.0,65.8,67.4,16,0
53773,0,66.7,61.0,66.5,61.0,60.1,16,0
59118,0,68.3,60.0,73.7,61.0,64.8,16,0
55939,0,63.6,61.8,56.0,60.0,60.2,16,0
56015,0,65.3,67.4,54.0,60.0,60.0,16,0
50363,0,40.0,60.5,64.9,65.6,66.9,16,0
55198,0,78.1,75.3,89.2,72.4,80.6,16,0
53862,0,77.8,85.8,82.2,66.4,83.2,16,0
50187,0,72.7,88.5,70.3,73.0,85.6,16,0
57331,0,75.4,90.8,73.9,76.2,68.0,16,0
52504,0,71.6,80.8,77.8,73.2,78.2,16,0
55116,0,60.8,88.6,70.5,79.2,76.2,16,0
50890,0,64.6,90.0,80.2,71.2,75.4,16,0
50814,0,70.7,86.6,74.2,63.0,70.6,16,0
53963,0,70.2,86.5,83.6,67.8,66.8,16,0
59174,0,75.5,71.7,77.8,65.8,77.4,16,0
51037,0,70.0,79.4,83.8,61.0,68.6,16,0
50621,0,68.0,75.9,79.2,67.0,75.0,16,0
56882,0,70.7,72.4,80.2,70.2,70.2,16,0
56772,0,70.9,64.7,78.7,67.2,68.6,16,0
58756,0,74.5,69.6,74.2,71.0,77.4,16,0
51769,0,70.0,70.5,70.7,70.0,66.8,16,0
56385,0,70.6,80.1,80.8,70.0,66.9,16,0
